cmc_rank,symbol,num_market_pairs,tags,max_supply,circulating_supply,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,volume_24h_usd
21,ATOM,424,platform|cosmos-ecosystem|content-creation|interoperability|polychain-capital-portfolio|dragonfly-capital-portfolio|hashkey-capital-portfolio|1confirmation-portfolio|paradigm-portfolio|exnetwork-capital-portfolio|injective-ecosystem,,286370297.0,,,,2023-03-27T00:40:00.000Z,73960483.9599193
22,XMR,211,mineable|pow|medium-of-exchange|privacy|ringct|boostvc-portfolio|electric-capital-portfolio|galaxy-digital-portfolio,,18257665.3933983,,,,2023-03-27T00:40:00.000Z,70694582.55791757
23,ETC,386,mineable|pow|ethash|platform|smart-contracts|dcg-portfolio,210700000.0,140111690.68746653,,,,2023-03-27T00:40:00.000Z,114126658.66018824
24,UNI,635,decentralized-exchange-dex-token|defi|dao|yield-farming|amm|coinbase-ventures-portfolio|three-arrows-capital-portfolio|governance|blockchain-capital-portfolio|defiance-capital-portfolio|alameda-research-portfolio|a16z-portfolio|pantera-capital-portfolio|parafi-capital|paradigm-portfolio|arbitrum-ecosytem|injective-ecosystem|optimism-ecosystem,1000000000.0,471066453.3598195,,,2.43378179,2023-03-27T00:40:00.000Z,47763198.04097285
25,TON,91,pos,5000000000.0,1221401181.0,3414166606.0,7219792134.963278,,2023-03-27T00:40:00.000Z,39556924.15819937
26,OKB,94,marketplace|centralized-exchange|discount-token|alameda-research-portfolio,,60000000.0,246638974.0,10387109266.989334,,2023-03-27T00:40:00.000Z,23185684.33657261
27,XLM,484,medium-of-exchange|enterprise-solutions|decentralized-exchange-dex-token|smart-contracts|hashkey-capital-portfolio,50001806812.0,26568299443.323734,,,,2023-03-27T00:40:00.000Z,51747847.13338905
28,BCH,687,mineable|pow|sha-256|marketplace|medium-of-exchange|store-of-value|enterprise-solutions|payments|btc-ecosystem,21000000.0,19347831.25,,,,2023-03-27T00:40:00.000Z,143354657.12424827
29,FIL,295,mineable|distributed-computing|filesharing|storage|polychain-capital-portfolio|blockchain-capital-portfolio|boostvc-portfolio|dcg-portfolio|hashkey-capital-portfolio|a16z-portfolio|winklevoss-capital-portfolio|pantera-capital-portfolio|web3|filecoin-ecosystem,,409930616.0,,,,2023-03-27T00:40:00.000Z,136567142.75718552
30,APT,169,binance-labs-portfolio|aptos-ecosystem|circle-ventures-portfolio,0.0,177305846.0,130000000.0,1548887432.7726905,,2023-03-27T00:40:00.000Z,153473733.59772116
31,TUSD,341,store-of-value|stablecoin|asset-backed-stablecoin|avalanche-ecosystem|arbitrum-ecosytem|bnb-chain|usd-stablecoin,,2042105471.1999998,,,,2023-03-27T00:40:00.000Z,292128612.8605425
32,LDO,169,defi|dao|three-arrows-capital-portfolio|paradigm-portfolio|arbitrum-ecosytem|liquid-staking-derivatives|optimism-ecosystem,1000000000.0,859972577.1861645,859971630.2762995,1861250020.3149977,0.17699777,2023-03-27T00:40:00.000Z,97547275.51075417
33,HBAR,127,dag|marketplace|enterprise-solutions|payments|dcg-portfolio,50000000000.0,30162396685.096035,,,,2023-03-27T00:40:00.000Z,29947089.45685386
34,CRO,181,medium-of-exchange|cosmos-ecosystem|centralized-exchange|mobile|payments|injective-ecosystem,30263013692.0,25263013692.0,,,,2023-03-27T00:40:00.000Z,9178185.22346792
35,NEAR,232,platform|staking|coinbase-ventures-portfolio|three-arrows-capital-portfolio|arrington-xrp-capital-portfolio|coinfund-portfolio|electric-capital-portfolio|fabric-ventures-portfolio|kenetic-capital-portfolio|near-protocol-ecosystem|injective-ecosystem|circle-ventures-portfolio,1000000000.0,866021029.0,,,,2023-03-27T00:40:00.000Z,48200149.9034951
36,ARB,132,scaling|dao|dapp|ethereum-ecosystem|polychain-capital-portfolio|layer-2|rollups|pantera-capital-portfolio|arbitrum-ecosytem,,1275000000.0,,,,2023-03-27T00:40:00.000Z,1082409156.7073648
37,VET,215,logistics|data-provenance|iot|smart-contracts|fenbushi-capital-portfolio,86712634466.0,72511146418.0,72511146418.0,1656108464.5937498,,2023-03-27T00:40:00.000Z,35783881.44895864
38,APE,254,collectibles-nfts|content-creation|gaming|entertainment|dao|governance|metaverse|animoca-brands-portfolio,1000000000.0,368593750.0,368593750.0,1513432627.800117,,2023-03-27T00:40:00.000Z,74736930.1269028
39,ALGO,286,pos|platform|research|smart-contracts|arrington-xrp-capital-portfolio|kenetic-capital-portfolio|usv-portfolio|multicoin-capital-portfolio|exnetwork-capital-portfolio,10000000000.0,7128873281.098098,,,,2023-03-27T00:40:00.000Z,30831348.12239208
40,QNT,144,platform|interoperability,14881364.0,12072738.0,,,,2023-03-27T00:40:00.000Z,13609057.72292418
41,ICP,146,platform|distributed-computing|collectibles-nfts|defi|interoperability|smart-contracts|dao|wallet|storage|polychain-capital-portfolio|lending-borowing|metaverse|electric-capital-portfolio|fenbushi-capital-portfolio|hashkey-capital-portfolio|a16z-portfolio|multicoin-capital-portfolio|exnetwork-capital-portfolio|web3|internet-computer-ecosystem,,298023378.7275476,298023378.7275476,1484523487.9756577,,2023-03-27T00:40:00.000Z,18942266.51070848
42,STX,85,mineable|platform|collectibles-nfts|defi|smart-contracts|metaverse|arrington-xrp-capital-portfolio|blockchain-capital-portfolio|dcg-portfolio|fabric-ventures-portfolio|hashkey-capital-portfolio|huobi-capital-portfolio|usv-portfolio|web3|injective-ecosystem|btc-ecosystem,1818000000.0,1367931108.609095,1048765672.087772,1053367426.1364067,,2023-03-27T00:40:00.000Z,230969528.29844162
43,GRT,276,ai-big-data|enterprise-solutions|defi|coinbase-ventures-portfolio|solana-ecosystem|analytics|coinfund-portfolio|dcg-portfolio|fabric-ventures-portfolio|framework-ventures-portfolio|ledgerprime-portfolio|multicoin-capital-portfolio|parafi-capital|polygon-ecosystem|fantom-ecosystem|web3|near-protocol-ecosystem|arbitrum-ecosytem|spartan-group|injective-ecosystem,0.0,8884480562.668633,,,,2023-03-27T00:40:00.000Z,31076568.40873845
44,FTM,435,platform|enterprise-solutions|defi|research|scaling|smart-contracts|fantom-ecosystem|injective-ecosystem,3175000000.0,2783518051.6005,,,,2023-03-27T00:40:00.000Z,165917685.01622477
45,EOS,522,medium-of-exchange|enterprise-solutions|smart-contracts|eos|fenbushi-capital-portfolio|galaxy-digital-portfolio,,1086465056.566,,,,2023-03-27T00:40:00.000Z,96629467.40254723
46,BIT,54,dao|governance|dragonfly-capital-portfolio|fenbushi-capital-portfolio|pantera-capital-portfolio|spartan-group,10000000000.0,2090946168.860899,3000000000.0,1579625330.5284839,,2023-03-27T00:40:00.000Z,4186629.96814704
47,MANA,352,platform|collectibles-nfts|gaming|payments|metaverse|boostvc-portfolio|dcg-portfolio|fabric-ventures-portfolio|kenetic-capital-portfolio|polygon-ecosystem|play-to-earn,,1855084191.7804768,,,,2023-03-27T00:40:00.000Z,41536063.96740036
48,EGLD,142,binance-launchpad|binance-labs-portfolio|electric-capital-portfolio|exnetwork-capital-portfolio|elrond-ecosystem|injective-ecosystem|bnb-chain,31415926.0,25187286.0,25187286.0,1077433847.0921264,,2023-03-27T00:40:00.000Z,15510496.09918722
49,XTZ,268,pos|platform|enterprise-solutions|collectibles-nfts|defi|smart-contracts|polychain-capital-portfolio|boostvc-portfolio|winklevoss-capital-portfolio,,932185332.848925,,,,2023-03-27T00:40:00.000Z,18018807.13673133
50,AAVE,533,defi|dao|yield-farming|three-arrows-capital-portfolio|governance|lending-borowing|blockchain-capital-portfolio|defiance-capital-portfolio|framework-ventures-portfolio|alameda-research-portfolio|pantera-capital-portfolio|parafi-capital|polygon-ecosystem|fantom-ecosystem|optimism-ecosystem,16000000.0,14093192.58056459,,,0.18346467,2023-03-27T00:40:00.000Z,53582597.61390936
51,THETA,140,media|collectibles-nfts|content-creation|defi|video|metaverse|huobi-capital-portfolio|web3,1000000000.0,1000000000.0,,,,2023-03-27T00:40:00.000Z,8528615.74683822
52,FLOW,122,collectibles-nfts|coinbase-ventures-portfolio|coinfund-portfolio|dcg-portfolio|ledgerprime-portfolio|a16z-portfolio|animoca-brands-portfolio,,1036200000.0,,,,2023-03-27T00:40:00.000Z,14432236.40200041
53,AXS,303,collectibles-nfts|gaming|binance-launchpad|metaverse|defiance-capital-portfolio|play-to-earn|animoca-brands-portfolio,270000000.0,115612959.11785972,,,,2023-03-27T00:40:00.000Z,34918326.32200767
54,IMX,132,collectibles-nfts|zero-knowledge-proofs|scaling|layer-2|rollups|arrington-xrp-capital-portfolio|alameda-research-portfolio,2000000000.0,868583515.2500242,570354831.0,629104442.8333378,,2023-03-27T00:40:00.000Z,39214723.53007162
55,SAND,345,collectibles-nfts|content-creation|gaming|ethereum-ecosystem|binance-launchpad|metaverse|play-to-earn|animoca-brands-portfolio,3000000000.0,1499470108.2233226,,,,2023-03-27T00:40:00.000Z,59474707.86612188
56,CFX,76,mineable|pow|platform|collectibles-nfts|defi|payments|research|smart-contracts|staking|hybrid-pow-dpos|huobi-capital-portfolio|web3|injective-ecosystem|bnb-chain,,2657528393.6536174,,,,2023-03-27T00:40:00.000Z,357833159.320003
57,USDP,93,store-of-value|stablecoin|asset-backed-stablecoin|bnb-chain|usd-stablecoin,,878084065.080683,,,,2023-03-27T00:40:00.000Z,30471496.61710986
58,NEO,263,platform|enterprise-solutions|smart-contracts,100000000.0,70538831.0,,,,2023-03-27T00:40:00.000Z,40279781.11417928
59,KCS,39,marketplace|centralized-exchange|discount-token|algorand-ecosystem,170118638.0,98379860.95,,,,2023-03-27T00:40:00.000Z,1023901.95778763
60,RPL,82,defi|liquid-staking-derivatives,19113413.0,19257025.5471179,19257025.5471179,816353250.2036934,,2023-03-27T00:40:00.000Z,13238878.90629066
61,CHZ,327,sports|collectibles-nfts|content-creation|payments,8888888888.0,6718673450.46322,,,,2023-03-27T00:40:00.000Z,31566467.42556882
62,LUNC,395,cosmos-ecosystem|store-of-value|defi|payments|coinbase-ventures-portfolio|binance-labs-portfolio|solana-ecosystem|arrington-xrp-capital-portfolio|hashkey-capital-portfolio|kenetic-capital-portfolio|huobi-capital-portfolio|pantera-capital-portfolio|terra-ecosystem|injective-ecosystem,,5896339217331.427,5896339615447.703,734517757.7697128,,2023-03-27T00:40:00.000Z,55959931.86553564
63,USDD,136,stablecoin|algorithmic-stablecoin|arbitrum-ecosytem|usd-stablecoin,,725332035.842248,,,,2023-03-27T00:40:00.000Z,13257181.09049226
64,OP,215,layer-2|optimism-ecosystem,4294967296.0,314844141.0,,,,2023-03-27T00:40:00.000Z,97545558.18828836
65,MINA,82,pos|zero-knowledge-proofs|staking|coinbase-ventures-portfolio|three-arrows-capital-portfolio|polychain-capital-portfolio,,874184844.8400393,,,,2023-03-27T00:40:00.000Z,21936888.88089351
66,BSV,193,mineable|pow|sha-256|medium-of-exchange|store-of-value|state-channel|btc-ecosystem,21000000.0,19266076.64423905,,,,2023-03-27T00:40:00.000Z,34993614.60497571
67,KLAY,151,platform|enterprise-solutions|injective-ecosystem,,3080435295.4064507,,,,2023-03-27T00:40:00.000Z,17324568.22600001
68,CRV,464,decentralized-exchange-dex-token|defi|dao|yield-farming|amm|governance|framework-ventures-portfolio|alameda-research-portfolio|polygon-ecosystem|fantom-ecosystem|arbitrum-ecosytem|optimism-ecosystem,3303030299.0,749611087.4618076,,,0.15056457,2023-03-27T00:40:00.000Z,31879910.46492045
69,CAKE,887,collectibles-nfts|decentralized-exchange-dex-token|defi|smart-contracts|yield-farming|amm|binance-smart-chain|dex|governance|aptos-ecosystem,750000000.0,186344961.4888856,,,0.28219061,2023-03-27T00:40:00.000Z,45281755.78946432
70,DASH,366,mineable|hybrid-pow-pos|x11|medium-of-exchange|privacy|masternodes|dao|governance,18900000.0,11200783.26128991,,,,2023-03-27T00:40:00.000Z,91856549.80636294
71,MKR,319,store-of-value|defi|dao|polychain-capital-portfolio|governance|lending-borowing|dragonfly-capital-portfolio|electric-capital-portfolio|a16z-portfolio|1confirmation-portfolio|placeholder-ventures-portfolio|pantera-capital-portfolio|paradigm-portfolio|near-protocol-ecosystem|arbitrum-ecosytem|spartan-group|bnb-chain|real-world-assets,1005577.0,977631.03695089,,,0.08541513,2023-03-27T00:40:00.000Z,36217667.76095988
72,SNX,380,services|decentralized-exchange-dex-token|defi|derivatives|dao|yield-farming|coinbase-ventures-portfolio|three-arrows-capital-portfolio|governance|synthetics|defiance-capital-portfolio|framework-ventures-portfolio|alameda-research-portfolio|parafi-capital|paradigm-portfolio|fantom-ecosystem|spartan-group|bnb-chain|optimism-ecosystem|real-world-assets,308069419.0,253699253.95200092,,,,2023-03-27T00:40:00.000Z,32141318.90109425
73,GUSD,88,store-of-value|stablecoin|asset-backed-stablecoin|usd-stablecoin,0.0,607049883.35,,,,2023-03-27T00:40:00.000Z,481902.79256787
74,HT,117,marketplace|centralized-exchange|discount-token|payments|algorand-ecosystem|kenetic-capital-portfolio|alameda-research-portfolio|multicoin-capital-portfolio,500000000.0,162233844.0,,,,2023-03-27T00:40:00.000Z,6593502.98250849
75,ZEC,287,mineable|pow|equihash|medium-of-exchange|privacy|zero-knowledge-proofs|binance-chain|boostvc-portfolio|dcg-portfolio|electric-capital-portfolio|fenbushi-capital-portfolio|hashkey-capital-portfolio|winklevoss-capital-portfolio|placeholder-ventures-portfolio|pantera-capital-portfolio|bnb-chain,21000000.0,16328268.75,,,,2023-03-27T00:40:00.000Z,21707490.84420993
76,GMX,121,derivatives|dex|avalanche-ecosystem|arbitrum-ecosytem,,8575988.01119405,,,,2023-03-27T00:40:00.000Z,38481953.26927149
77,XEC,61,,21000000000000.0,19343779673303.0,19343779673303.0,593375021.7703402,,2023-03-27T00:40:00.000Z,5399741.1877861
78,BTT,97,platform|distributed-computing|filesharing|interoperability|staking|tron-ecosystem|storage|binance-launchpad|binance-labs-portfolio|web3|bnb-chain,,951421714286000.0,,,,2023-03-27T00:40:00.000Z,11238227.68057997
79,MIOTA,88,dag|medium-of-exchange|iot|sharing-economy,2779530283.0,2779530283.0,,,,2023-03-27T00:40:00.000Z,8636150.4441142
80,FXS,154,defi|seigniorage|avalanche-ecosystem|exnetwork-capital-portfolio|olympus-pro-ecosystem|arbitrum-ecosytem|liquid-staking-derivatives,,71077300.0848595,,,,2023-03-27T00:40:00.000Z,17834405.60117793
81,XDC,60,xdc-ecosystem,,13824531060.75,13824529834.2,556779157.4436091,,2023-03-27T00:40:00.000Z,4287788.45415379
82,GT,25,marketplace|centralized-exchange|discount-token|algorand-ecosystem,,108265076.62840587,,,,2023-03-27T00:40:00.000Z,695153.47288003
83,PAXG,109,bnb-chain|tokenized-gold,,271263.71,271181.0,539386269.0872791,,2023-03-27T00:40:00.000Z,9463431.79720623
84,AGIX,80,marketplace|ai-big-data|payments|cross-chain-dex-aggregator,2000000000.0,1206121857.2620106,,,,2023-03-27T00:40:00.000Z,97670855.33269885
85,TWT,138,wallet|polygon-ecosystem|bnb-chain,1000000000.0,416649900.0,416649900.0,491937501.12403834,,2023-03-27T00:40:00.000Z,12951349.10811742
86,LRC,254,marketplace|decentralized-exchange-dex-token|defi|zero-knowledge-proofs|scaling|smart-contracts|wallet|ethereum-ecosystem|amm|dex|layer-2|rollups|red-packets|web3|token|arbitrum-ecosytem,1374513896.0,1330133545.5263836,,,4.17482099,2023-03-27T00:40:00.000Z,57514829.99519968
87,MASK,142,communications-social-media|collectibles-nfts|content-creation|ethereum-ecosystem|metaverse|polygon-ecosystem|web3|animoca-brands-portfolio|injective-ecosystem|bnb-chain,100000000.0,76150000.0,76150000.0,469173973.6124646,,2023-03-27T00:40:00.000Z,230105283.3463768
88,RUNE,136,cosmos-ecosystem|decentralized-exchange-dex-token|defi|dex|multicoin-capital-portfolio|exnetwork-capital-portfolio|injective-ecosystem,500000000.0,327056566.0,326362945.0,457960423.7530158,3.89567527,2023-03-27T00:40:00.000Z,20422795.92185217
89,RNDR,118,art|media|ai-big-data|collectibles-nfts|gaming|scaling|video|ethereum-ecosystem|solana-ecosystem|metaverse|alameda-research-portfolio|multicoin-capital-portfolio|polygon-ecosystem|web3,536870912.0,361444954.10879594,364833198.0,447026255.55861634,,2023-03-27T00:40:00.000Z,37526436.45164224
90,ZIL,245,mineable|platform|payments|smart-contracts|polychain-capital-portfolio|metaverse|kenetic-capital-portfolio|zilliqa-ecosystem|bnb-chain,21000000000.0,15867699446.7699,,,,2023-03-27T00:40:00.000Z,17343347.73218507
91,1INCH,324,decentralized-exchange-dex-token|defi|amm|binance-labs-portfolio|blockchain-capital-portfolio|dragonfly-capital-portfolio|fabric-ventures-portfolio|alameda-research-portfolio|parafi-capital|spartan-group|bnb-chain,,834797412.6585293,834797412.6585293,428009266.20388466,,2023-03-27T00:40:00.000Z,21779795.9806124
92,NEXO,98,services|payments|cardano-ecosystem,1000000000.0,560000011.0,,,,2023-03-27T00:40:00.000Z,7659573.76472338
93,FLR,45,,,11999991148.0,12226432693.20815,428069613.9231247,,2023-03-27T00:40:00.000Z,10738840.54272792
94,FEI,70,defi|stablecoin|algorithmic-stablecoin,,424996177.78890556,,,72928568.00625233,2023-03-27T00:40:00.000Z,263422.65601944
95,KAVA,103,cosmos-ecosystem|defi|binance-launchpad|binance-labs-portfolio|lending-borowing|arrington-xrp-capital-portfolio|framework-ventures-portfolio|hashkey-capital-portfolio|injective-ecosystem,,456385131.0,456379332.0,397280389.40851307,,2023-03-27T00:40:00.000Z,13373316.02869491
96,OSMO,70,cosmos-ecosystem|injective-ecosystem,1000000000.0,492590761.0,,,,2023-03-27T00:40:00.000Z,6506685.21971531
97,ENJ,301,media|collectibles-nfts|gaming|ethereum-ecosystem|metaverse|arrington-xrp-capital-portfolio,1000000000.0,1000000000.0,,,,2023-03-27T00:40:00.000Z,14848806.06110974
98,CVX,147,defi|yield-aggregator,100000000.0,75804285.37352417,2814665.0,14458370.266693529,0.10628537,2023-03-27T00:40:00.000Z,6077775.04517934
99,CSPR,49,enterprise-solutions|arrington-xrp-capital-portfolio|hashkey-capital-portfolio|web3|okex-blockdream-ventures-portfolio,,10851986208.0,,,,2023-03-27T00:40:00.000Z,5732471.11351567
100,SSV,48,,,10000000.0,11076871.0,418353362.76159537,,2023-03-27T00:40:00.000Z,34972470.57417715
101,DYDX,223,defi|derivatives|zero-knowledge-proofs|three-arrows-capital-portfolio|paradigm-portfolio|spartan-group,1000000000.0,156256174.0,,,,2023-03-27T00:40:00.000Z,77027965.39692627
102,ETHW,76,pow,,107818999.04993,,,,2023-03-27T00:40:00.000Z,4311873.7186876
103,T,74,btc-ecosystem,10000000000.0,8723757953.179714,10000000000.0,416452718.3427775,,2023-03-27T00:40:00.000Z,30151986.82488711
104,BAT,368,marketing|content-creation|defi|payments|dcg-portfolio|1confirmation-portfolio|pantera-capital-portfolio|web3|bnb-chain,1500000000.0,1485963548.4163349,,,,2023-03-27T00:40:00.000Z,59908663.47567941
105,XEM,138,poi|medium-of-exchange|payments|smart-contracts|fantom-ecosystem,8999999999.0,8999999999.0,,,,2023-03-27T00:40:00.000Z,8323394.5904434
106,BAL,283,decentralized-exchange-dex-token|defi|dao|yield-farming|amm|three-arrows-capital-portfolio|governance|coinfund-portfolio|alameda-research-portfolio|placeholder-ventures-portfolio|pantera-capital-portfolio|near-protocol-ecosystem|arbitrum-ecosytem|optimism-ecosystem,96150704.0,48545885.88320538,,,0.2511911,2023-03-27T00:40:00.000Z,5246176.80841414
107,ROSE,73,cosmos-ecosystem|ai-big-data|collectibles-nfts|defi|privacy|scaling|smart-contracts|polychain-capital-portfolio|binance-labs-portfolio|arrington-xrp-capital-portfolio|blockchain-capital-portfolio|dragonfly-capital-portfolio|electric-capital-portfolio|kenetic-capital-portfolio|huobi-capital-portfolio|a16z-portfolio|winklevoss-capital-portfolio|pantera-capital-portfolio|injective-ecosystem,10000000000.0,5725718533.0,,,,2023-03-27T00:40:00.000Z,16070531.01753428
108,WOO,161,centralized-exchange|three-arrows-capital-portfolio|exnetwork-capital-portfolio|polygon-ecosystem|arbitrum-ecosytem|mvb|vbc-ventures-portfolio|injective-ecosystem|bnb-chain,,1675921308.3794155,1675921308.3794155,326032171.43722695,,2023-03-27T00:40:00.000Z,13353411.79046998
109,QTUM,204,platform|smart-contracts|kenetic-capital-portfolio|btc-ecosystem,107822406.0,104590242.5,,,,2023-03-27T00:40:00.000Z,39858557.19178578
110,RVN,118,mineable|pow|platform|crowdfunding,21000000000.0,12356220175.877617,,,,2023-03-27T00:40:00.000Z,6162103.20287464
111,FLOKI,122,gaming|memes|metaverse|doggone-doggerel|play-to-earn|bnb-chain,20000000000000.0,8917452316422.0,9317621738535.4,335853811.4799982,,2023-03-27T00:40:00.000Z,27269435.25783264
112,TFUEL,52,media|content-creation|defi|payments,,6078398063.0,,,,2023-03-27T00:40:00.000Z,2179063.7633044
113,HOT,144,platform|distributed-computing|filesharing|storage,,173342974126.73712,,,,2023-03-27T00:40:00.000Z,17255432.37872479
114,ANKR,182,platform|cosmos-ecosystem|enterprise-solutions|defi|filesharing|staking|substrate|polkadot-ecosystem|pantera-capital-portfolio|polygon-ecosystem|celo-ecosystem|injective-ecosystem|bnb-chain|liquid-staking-derivatives,10000000000.0,9662899377.791666,,,1.71863853,2023-03-27T00:40:00.000Z,37181266.78115697
115,LUNA,102,,0.0,241055125.596039,241055125.596039,317317172.7116472,,2023-03-27T00:40:00.000Z,36415106.90033754
116,DCR,66,mineable|hybrid-pow-pos|blake256|medium-of-exchange|store-of-value|privacy|dao|placeholder-ventures-portfolio,21000000.0,14832100.69145597,,,,2023-03-27T00:40:00.000Z,1205829.89762971
